Scaler,Context,Horizon,D_model,RMSE
standard,48,24,128,6.835981863695331
standard,48,12,64,6.982137505135873
standard,48,24,64,7.168864098117315
standard,48,12,128,7.254742090963433
robust,48,24,128,7.347280359869456
robust,48,12,64,7.354514944962964
robust,48,24,64,7.370993350203892
standard,24,24,128,7.60337765576083
robust,48,24,32,7.625590317185082
robust,48,12,128,7.644925707199745
standard,48,6,32,7.677106080006442
standard,48,6,64,7.701251128967034
standard,48,6,128,7.714912974372973
standard,24,12,64,7.7633419249855455
standard,24,12,128,7.8000657885784745
robust,48,6,128,7.800584663584519
robust,48,6,32,7.84086768701048
standard,24,24,64,7.842870898585847
robust,24,24,128,7.856738761319677
robust,48,6,64,7.896571571912207
robust,24,24,64,8.04083843281512
robust,48,12,32,8.083996408015325
standard,24,6,128,8.095111040245603
robust,24,6,64,8.099324195832589
robust,24,12,64,8.115667999470944
standard,48,12,32,8.117858565258874
standard,24,6,64,8.151211757327433
robust,24,12,128,8.28749718299231
robust,24,12,32,8.288097386528118
robust,24,6,32,8.311255340322017
robust,24,6,128,8.348751554984462
standard,24,6,32,8.528026376994783
minmax,48,12,128,8.676990326882501
standard,24,12,32,8.733736018247047
robust,24,24,32,9.262899116843933
standard,48,24,32,9.480215250782646
minmax,24,6,128,9.636801086494629
standard,24,24,32,9.71828015531792
minmax,24,24,128,9.854620656261133
minmax,24,6,64,10.522897730565912
minmax,48,6,64,10.838663364786095
minmax,48,24,128,10.99774805773021
minmax,48,6,128,11.851621724472984
minmax,48,6,32,12.347885482093938
minmax,48,24,64,12.83735263520731
minmax,24,12,128,12.928906816499474
minmax,24,24,64,13.064546415657722
minmax,48,12,64,13.439101012908425
minmax,48,12,32,13.751839254650346
minmax,24,12,64,14.802505404821362
minmax,48,24,32,14.899744817609555
minmax,24,6,32,15.32399719840482
minmax,24,24,32,15.915611405201096
minmax,24,12,32,15.917941430191279
